conversation_id_str,full_text_comments,full_text_comments_preprocessed
2.000392181165732e+18,@susipudjiastuti @prabowo Legal ilegal hutan gundul jika masih ada produksi stop pembukaan lahan baru stop deforestasi,susipudjiastuti prabowo legal ilegal hutan gundul produksi stop pembukaan lahan stop deforestasi
2.000392181165732e+18,@susipudjiastuti @prabowo Mana dengar dia buk sudahlah gak usah lagi berharap. Biarkan saja dimakan sumpahnya sendiri,susipudjiastuti prabowo dengar buk gak berharap biarkan dimakan sumpahnya
2.000392181165732e+18,@susipudjiastuti @prabowo Kemablikan HUTAN ke Fungsinya Jgn lagi Ada Perusakan HUTAN dg Dalih Apa pun. Hsl dr Tambang Perkebunan Sawit Sangat tdk Sebanding dg Dampak Kerusakan yg diTimbulkan. Pun yg Menikmati hny Sgelintir ORANG. RAKYAT ttp Saja kebagian AMPAS . Ingat Anak CUCU kt Stop Cabut Izin nya.,susipudjiastuti prabowo kemablikan hutan fungsinya jgn perusakan hutan dalih hsl tambang perkebunan sawit tdk sebanding dampak kerusakan ditimbulkan menikmati hny sgelintir rakyat ttp kebagian ampas anak cucu stop cabut izin
2.000392181165732e+18,@susipudjiastuti @prabowo Presiden / keluarganya diduga punya kebun sawit yg tdk sedikit bu @susipudjiastuti ? ,susipudjiastuti prabowo presiden keluarganya diduga kebun sawit tdk susipudjiastuti
2.000392181165732e+18,@susipudjiastuti @prabowo Yang heppy mereka bu...rakyat mblangsak mah udah biasa...biasa buat tumbal,susipudjiastuti prabowo heppy rakyat mblangsak tumbal
2.000392181165732e+18,@susipudjiastuti @prabowo Ibu susi HP pak @prabowo disetting sama buna Teddy buat gak main sosmed banyak². Mana mungkin aspirasi rakyat bahkan sekaliber Bu Susi terdengar.,susipudjiastuti prabowo susi prabowo disetting buna teddy gak main sosmed aspirasi rakyat sekaliber susi terdengar
2.000392181165732e+18,@susipudjiastuti @prabowo Apakah didengar buk @susipudjiastuti oleh presiden prabaowo klo kuarganya jg andil didlm stu..dan presiden dikepung pembantunya yg ikut andil jg ,susipudjiastuti prabowo didengar buk susipudjiastuti presiden prabaowo klo kuarganya andil didlm stu presiden dikepung pembantunya andil
2.000392181165732e+18,@susipudjiastuti @prabowo Tanam kembali hutan sperti bapak ke brazil kmrn,susipudjiastuti prabowo tanam hutan sperti brazil kmrn
2.000392181165732e+18,@susipudjiastuti @prabowo @grok seberapa luas lahan sawit yang dimiliki pak Prabowo Subianto?,susipudjiastuti prabowo grok luas lahan sawit dimiliki prabowo subianto
2.000392181165732e+18,@susipudjiastuti @prabowo Setuju bu saat ini pemilahan harusnya : mana yg berdampak negatif dan positif. Jika berdampak negatif maka tutup walau legal.,susipudjiastuti prabowo setuju pemilahan berdampak negatif positif berdampak negatif tutup legal
2.000392181165732e+18,@susipudjiastuti @prabowo Seperti nya harus rakyat yg menghentikan semua termasuk para pejabat yg sudah jelas bermasalah ada barang buktinya..,susipudjiastuti prabowo rakyat menghentikan pejabat bermasalah barang buktinya
2.000392181165732e+18,@susipudjiastuti @prabowo yg Legal malah lebih parah,susipudjiastuti prabowo legal parah
2.000392181165732e+18,@susipudjiastuti @prabowo emang berani prabowo lawan cukong2 dan jaringannya yg berurat akar di negeri ini buk? .,susipudjiastuti prabowo emang berani prabowo lawan cukong jaringannya berurat akar negeri buk
2.000392181165732e+18,@susipudjiastuti @prabowo O. T. A. K. !! Repot bu klo org yg duduk di pemerintahan tidak mikirin rakyat tapi mikir kepentingan diri dan kelg nya. Mo sampe modyar ya tetep serakah!!,susipudjiastuti prabowo repot klo org duduk pemerintahan tidak mikirin rakyat mikir kepentingan kelg sampe modyar tetep serakah
2.000392181165732e+18,@susipudjiastuti @prabowo brarti sebelumnya gk ditertibkan ,susipudjiastuti prabowo brarti ditertibkan
2.000392181165732e+18,@susipudjiastuti @prabowo Tak bisa tawar menawar Selamatkan hutan alam Indonesia utk kebaikan keberlangsungan kehidupan. Alam anugrah yg harus di jaga bukan dirusak rusaknya alam kerugian utk Masyarakat Flora Fauna disekitar.,susipudjiastuti prabowo tawar menawar selamatkan hutan alam indonesia utk kebaikan keberlangsungan kehidupan alam anugrah jaga bukan dirusak rusaknya alam kerugian utk masyarakat flora fauna disekitar
2.000392181165732e+18,@susipudjiastuti @prabowo SAAT MASIH KONFLIK DI ACEH HUTANNYA AMAN!!! KL KATA2 WOWOK BISA DIPERCAYA TAEK KUCINGPUN BISA JADI EMAS!!!,susipudjiastuti prabowo konflik aceh hutannya aman wowok dipercaya taek kucingpun emas
2.000392181165732e+18,@susipudjiastuti @prabowo Negeri ini sdh mengarah pada kehancuran selama pemimpinnya tdk mau jujur pada rakyat. Pencitraan makin menonjol solusinya gaje alias ga jelas,susipudjiastuti prabowo negeri sdh mengarah kehancuran pemimpinnya tdk jujur rakyat pencitraan menonjol solusinya gaje alias
2.000392181165732e+18,@susipudjiastuti @prabowo lha dia punya jg buanyaak bgt bu gmana MALING bs tangkap maling?? @prabowo,susipudjiastuti prabowo lha buanyaak bgt gmana maling tangkap maling prabowo
2.000392181165732e+18,@susipudjiastuti @prabowo Segilintir org yg untung dn punya kuasa. Yg menderita ya Rakyat! Klo begini apa guna Pancasila si bagi mereka yg punya kuasa sampah x ya?,susipudjiastuti prabowo segilintir org untung kuasa menderita rakyat klo pancasila kuasa sampah
2.000392181165732e+18,@susipudjiastuti @prabowo Setuju bangett bu saya yg sekarang tinggal disumbar jujur saja sangatt prihatin melihat penggundulan hutan yg dilakukan dibukit ,susipudjiastuti prabowo setuju bangett tinggal disumbar jujur sangatt prihatin penggundulan hutan dibukit
2.000392181165732e+18,@susipudjiastuti @prabowo Yang rugi kan negara para pembesarnya mana ada rugi..untung teroooss..emang daridulu negara settingannya selalu rugi..klo untung mah mana nimbun utang..aya..aya..wae...,susipudjiastuti prabowo rugi negara pembesarnya rugi untung teroooss emang daridulu negara settingannya rugi klo untung nimbun utang aya aya wae
2.000392181165732e+18,@susipudjiastuti @prabowo https://t.co/xtmQoyXOxX Kami sudah menyerah bu ,susipudjiastuti prabowo menyerah
2.000392181165732e+18,@susipudjiastuti @prabowo Perkebunan sawit dimana2 merusak alam dan ironis nya minyak tetap mahal dan bahkan pernah langka,susipudjiastuti prabowo perkebunan sawit merusak alam ironis minyak mahal langka
2.000392181165732e+18,@susipudjiastuti @prabowo Paling tidak konsultan lingkungannya membuat rekomendasi yang jujur dan dijalankan dengan kejujuran. Biarin sawit tetap ditanam toh negara juga perlu income.,susipudjiastuti prabowo tidak konsultan lingkungannya rekomendasi jujur dijalankan kejujuran biarin sawit ditanam negara income
2.000392181165732e+18,@susipudjiastuti @prabowo Apa masih terdengar dan di dengar Bu mau optimis pun susah mau percaya 10 Perusahaan itu ,susipudjiastuti prabowo terdengar dengar optimis susah percaya perusahaan
2.000392181165732e+18,@susipudjiastuti @prabowo Ibu tidak berjuang dari dalam. Lebih baik sampaikan ke @kikysaputrii yang berjuang dr dalam. Biarkan dia yg sampaikan ke pak prabowo.,susipudjiastuti prabowo tidak berjuang kikysaputrii berjuang biarkan prabowo
2.000392181165732e+18,@susipudjiastuti @prabowo Tangkap Pelakunya dan Adili dengan Benar beres semua .. Keberanian Presiden di Uji ..,susipudjiastuti prabowo tangkap pelakunya adili beres keberanian presiden uji
