full_text_comments,full_text_comments_preprocessed
@susipudjiastuti @prabowo Tak bisa tawar menawar Selamatkan hutan alam Indonesia utk kebaikan keberlangsungan kehidupan. Alam anugrah yg harus di jaga bukan dirusak rusaknya alam kerugian utk Masyarakat Flora Fauna disekitar.,tak tawar menawar selamatkan hutan alam indonesia utk kebaikan keberlangsungan kehidupan alam anugrah jaga dirusak rusaknya alam kerugian utk masyarakat flora fauna disekitar
@susipudjiastuti @prabowo SAAT MASIH KONFLIK DI ACEH HUTANNYA AMAN!!! KL KATA2 WOWOK BISA DIPERCAYA TAEK KUCINGPUN BISA JADI EMAS!!!,konflik aceh hutannya aman kata wowok dipercaya taek kucingpun jadi emas
@susipudjiastuti @prabowo Negeri ini sdh mengarah pada kehancuran selama pemimpinnya tdk mau jujur pada rakyat. Pencitraan makin menonjol solusinya gaje alias ga jelas,negeri sdh mengarah kehancuran selama pemimpinnya tdk jujur rakyat pencitraan makin menonjol solusinya gaje alias jelas
@susipudjiastuti @prabowo lha dia punya jg buanyaak bgt bu gmana MALING bs tangkap maling?? @prabowo,lha punya buanyaak bgt gmana maling tangkap maling
@susipudjiastuti @prabowo Segilintir org yg untung dn punya kuasa. Yg menderita ya Rakyat! Klo begini apa guna Pancasila si bagi mereka yg punya kuasa sampah x ya?,segilintir org untung punya kuasa menderita rakyat klo begini apa guna pancasila bagi punya kuasa sampah
@susipudjiastuti @prabowo Setuju bangett bu saya yg sekarang tinggal disumbar jujur saja sangatt prihatin melihat penggundulan hutan yg dilakukan dibukit ,setuju bangett sekarang tinggal disumbar jujur saja sangatt prihatin melihat penggundulan hutan dilakukan dibukit
@susipudjiastuti @prabowo Yang rugi kan negara para pembesarnya mana ada rugi..untung teroooss..emang daridulu negara settingannya selalu rugi..klo untung mah mana nimbun utang..aya..aya..wae...,rugi kan negara para pembesarnya mana rugi untung teroooss emang daridulu negara settingannya selalu rugi klo untung mana nimbun utang aya aya wae
@susipudjiastuti @prabowo https://t.co/xtmQoyXOxX Kami sudah menyerah bu ,menyerah
@susipudjiastuti @prabowo Perkebunan sawit dimana2 merusak alam dan ironis nya minyak tetap mahal dan bahkan pernah langka,perkebunan sawit dimana merusak alam ironis minyak tetap mahal bahkan pernah langka
@susipudjiastuti @prabowo Paling tidak konsultan lingkungannya membuat rekomendasi yang jujur dan dijalankan dengan kejujuran. Biarin sawit tetap ditanam toh negara juga perlu income.,paling konsultan lingkungannya membuat rekomendasi jujur dijalankan kejujuran biarin sawit tetap ditanam toh negara income
@susipudjiastuti @prabowo Apa masih terdengar dan di dengar Bu mau optimis pun susah mau percaya 10 Perusahaan itu ,apa terdengar dengar optimis pun susah percaya perusahaan
@susipudjiastuti @prabowo Ibu tidak berjuang dari dalam. Lebih baik sampaikan ke @kikysaputrii yang berjuang dr dalam. Biarkan dia yg sampaikan ke pak prabowo.,ibu berjuang lebih baik sampaikan berjuang biarkan sampaikan pak prabowo
